geracao,qtdFeatures,qtdParticulas,fitness
0,9,100,0.0078125
1,9,76,0.0039525691699604515
2,9,50,0.0039525691699604515
3,8,47,0.0039215686274509665
4,8,52,0.0039215686274509665
5,8,52,0.0039215686274509665
6,8,50,0.0039215686274509665
7,8,47,0.0039215686274509665
8,8,48,0.0039215686274509665
9,8,45,0.0039215686274509665
10,8,45,0.0039215686274509665
11,8,47,0.0039215686274509665
12,8,41,0.0039215686274509665
13,8,43,0.0039215686274509665
14,8,41,0.0039215686274509665
15,8,43,0.0039215686274509665
16,8,47,0.0039215686274509665
17,8,44,0.0039215686274509665
18,8,46,0.0039215686274509665
19,8,45,0.0039215686274509665
20,8,44,0.0039215686274509665
21,8,41,0.0039215686274509665
22,8,39,0.0039215686274509665
23,8,39,0.0039215686274509665
24,8,39,0.0039215686274509665
25,8,40,0.0039215686274509665
26,8,36,0.0039215686274509665
27,8,37,0.0039215686274509665
28,8,36,0.0039215686274509665
29,8,41,0.0039215686274509665
30,8,36,0.0039215686274509665
31,8,39,0.0039215686274509665
32,8,43,0.0039215686274509665
33,8,42,0.0039215686274509665
34,8,38,0.0039215686274509665
35,8,37,0.0039215686274509665
36,8,39,0.0039215686274509665
37,8,37,0.0039215686274509665
38,8,34,0.0039215686274509665
39,8,34,0.0039215686274509665
40,7,33,0.0038910505836575737
41,7,35,0.0038910505836575737
42,7,43,0.0038910505836575737
43,7,36,0.0038910505836575737
44,7,34,0.0038910505836575737
45,7,34,0.0038910505836575737
46,7,42,0.0038910505836575737
47,7,28,0.0038910505836575737
48,7,39,0.0038910505836575737
49,7,30,0.0038910505836575737
50,7,26,0.0038910505836575737
51,7,30,0.0038910505836575737
52,7,27,0.0038910505836575737
53,7,33,0.0038910505836575737
54,7,27,0.0038910505836575737
55,7,32,0.0038910505836575737
56,7,28,0.0038910505836575737
57,7,27,0.0038910505836575737
58,7,33,0.0038910505836575737
59,7,33,0.0038910505836575737
60,7,23,0.0038910505836575737
61,7,30,0.0038910505836575737
62,7,33,0.0038910505836575737
63,7,31,0.0038910505836575737
64,7,34,0.0038910505836575737
65,7,31,0.0038910505836575737
66,7,24,0.0038910505836575737
67,7,23,0.0038910505836575737
68,7,25,0.0038910505836575737
69,7,25,0.0038910505836575737
70,7,31,0.0038910505836575737
71,7,25,0.0038910505836575737
72,5,29,0.0
73,5,30,0.0
74,5,26,0.0
75,5,22,0.0
76,5,27,0.0
77,5,24,0.0
78,5,23,0.0
79,5,28,0.0
80,5,27,0.0
81,5,27,0.0
82,5,24,0.0
83,5,23,0.0
84,5,32,0.0
85,5,24,0.0
86,5,23,0.0
87,5,22,0.0
88,5,26,0.0
89,5,29,0.0
90,5,26,0.0
91,5,19,0.0
92,5,27,0.0
93,5,26,0.0
94,5,25,0.0
95,5,18,0.0
96,5,26,0.0
97,5,27,0.0
98,5,28,0.0
99,5,28,0.0
100,5,25,0.0
101,5,23,0.0
102,5,26,0.0
103,5,26,0.0
104,5,22,0.0
105,5,26,0.0
106,5,19,0.0
107,5,19,0.0
108,5,19,0.0
109,5,21,0.0
110,5,25,0.0
111,5,23,0.0
112,5,22,0.0
113,5,25,0.0
114,5,18,0.0
115,5,16,0.0
116,5,12,0.0
117,5,25,0.0
118,5,20,0.0
119,5,23,0.0
120,5,16,0.0
121,5,19,0.0
122,5,17,0.0
123,5,25,0.0
124,5,19,0.0
125,5,13,0.0
126,5,19,0.0
127,5,21,0.0
128,5,15,0.0
129,5,13,0.0
130,5,17,0.0
131,5,15,0.0
132,5,14,0.0
133,5,22,0.0
134,5,16,0.0
135,5,18,0.0
136,5,14,0.0
137,5,17,0.0
138,5,14,0.0
139,5,14,0.0
140,5,20,0.0
141,5,18,0.0
142,5,18,0.0
143,5,18,0.0
144,5,9,0.0
145,5,11,0.0
146,5,22,0.0
147,5,16,0.0
148,5,14,0.0
149,5,13,0.0
150,5,15,0.0
