geracao,qtdFeatures,qtdParticulas,fitness
0,8,100,0.0039215686274509665
1,8,94,0.0039215686274509665
2,8,98,0.0039215686274509665
3,8,99,0.0039215686274509665
4,8,91,0.0039215686274509665
5,7,91,0.0038910505836575737
6,7,91,0.0038910505836575737
7,7,82,0.0038910505836575737
8,7,90,0.0038910505836575737
9,7,85,0.0038910505836575737
10,7,90,0.0038910505836575737
11,7,81,0.0038910505836575737
12,7,79,0.0038910505836575737
13,7,75,0.0038910505836575737
14,7,77,0.0038910505836575737
15,7,75,0.0038910505836575737
16,7,77,0.0038910505836575737
17,7,79,0.0038910505836575737
18,7,74,0.0038910505836575737
19,7,73,0.0038910505836575737
20,7,68,0.0038910505836575737
21,7,63,0.0038910505836575737
22,7,62,0.0038910505836575737
23,7,70,0.0038910505836575737
24,7,68,0.0038910505836575737
25,7,65,0.0038910505836575737
26,7,59,0.0038910505836575737
27,7,54,0.0038910505836575737
28,7,61,0.0038910505836575737
29,7,65,0.0038910505836575737
30,7,63,0.0038910505836575737
31,7,56,0.0038910505836575737
32,7,58,0.0038910505836575737
33,5,56,0.0
34,5,68,0.0
35,5,65,0.0
36,5,60,0.0
37,5,61,0.0
38,5,69,0.0
39,5,58,0.0
40,5,58,0.0
41,5,58,0.0
42,5,54,0.0
43,5,53,0.0
44,5,50,0.0
45,5,45,0.0
46,5,50,0.0
47,5,51,0.0
48,5,55,0.0
49,5,60,0.0
50,5,54,0.0
51,5,45,0.0
52,5,45,0.0
53,5,53,0.0
54,5,42,0.0
55,5,48,0.0
56,5,47,0.0
57,5,37,0.0
58,5,43,0.0
59,5,39,0.0
60,5,46,0.0
61,5,33,0.0
62,5,39,0.0
63,5,45,0.0
64,5,47,0.0
65,5,30,0.0
66,5,46,0.0
67,5,40,0.0
68,5,41,0.0
69,5,42,0.0
70,5,29,0.0
71,5,46,0.0
72,5,37,0.0
73,5,33,0.0
74,5,36,0.0
75,5,37,0.0
76,5,37,0.0
77,5,37,0.0
78,5,34,0.0
79,5,32,0.0
80,5,25,0.0
81,5,31,0.0
82,5,44,0.0
83,5,25,0.0
84,5,26,0.0
85,5,30,0.0
86,5,33,0.0
87,5,26,0.0
88,5,32,0.0
89,5,27,0.0
90,5,23,0.0
91,5,32,0.0
92,5,28,0.0
93,5,30,0.0
94,5,19,0.0
95,5,28,0.0
96,5,22,0.0
97,5,18,0.0
98,5,26,0.0
99,5,26,0.0
100,5,27,0.0
101,5,34,0.0
102,5,25,0.0
103,5,20,0.0
104,5,22,0.0
105,5,24,0.0
106,5,23,0.0
107,5,30,0.0
108,5,27,0.0
109,5,22,0.0
110,5,23,0.0
111,5,21,0.0
112,5,19,0.0
113,5,18,0.0
114,5,19,0.0
115,5,24,0.0
116,5,13,0.0
117,5,15,0.0
118,5,14,0.0
119,5,32,0.0
120,5,25,0.0
121,5,21,0.0
122,5,25,0.0
123,5,21,0.0
124,5,15,0.0
125,5,20,0.0
126,5,23,0.0
127,5,19,0.0
128,5,20,0.0
129,5,17,0.0
130,5,20,0.0
131,5,12,0.0
132,5,19,0.0
133,5,24,0.0
134,5,17,0.0
135,5,12,0.0
136,5,23,0.0
137,5,17,0.0
138,5,14,0.0
139,5,13,0.0
140,5,24,0.0
141,5,18,0.0
142,5,12,0.0
143,5,15,0.0
144,5,17,0.0
145,5,14,0.0
146,5,11,0.0
147,5,10,0.0
148,5,18,0.0
149,5,12,0.0
150,5,16,0.0
